Error,,QUOTE_TO,Addr1,Addr2,City,st,Zip,QuoteNo,DateENT,E2_Customer_Key,EntBy,ShipVia,ContactName,InqNum,TermsCode,Phone,FAX,Total,E2_Quote_Key,RecordTypeId,Name,StageName,CloseDate,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate,LoadForCompany
INVALID_FIELD:Failed to deserialize field at col 6. Due to  'DateENT' is not a valid value for the type xsd:date:Quote_Date__c --,0,Aluma Line Inc,529 E Juanita Ave # 6,,Mesa,AZ,85204,SCC_15386,2023-04-14,SCC_5055,bzichichi,,Ron Schneider,Lift station 77,DUE ON RECEI,480-926-3831,,Formula for Total??,SCC_15386, ,Aluma Line Inc - 15386,Quote,2023-08-12,1,Y,2023-04-26 13:54:28.720,SCC_Quote.csv,2023-04-26,DESERT
DUPLICATE_VALUE:duplicate value found: E2_Quote_Key__c duplicates value on record with id: 006Dn000008nEv7:--,1,Currier Construction,36N 56th st,,Phoenix,AZ,85034,SCC_15401,2023-04-26,SCC_4890,bzichichi,,J,North PumpBack,NET 30,(602) 247-4370,,Formula for Total??,SCC_15401, ,Currier Construction - 15401,Quote,2023-08-24,2,Y,2023-04-26 13:54:28.720,SCC_Quote.csv,2023-04-26,DESERT
DUPLICATE_VALUE:duplicate value found: E2_Quote_Key__c duplicates value on record with id: 006Dn000008nSLM:--,
